Name,price,rate,n_vote,link,author,description,freqBought
 Superforecasting: The Art and Science of Prediction ,"[54.59, 17.1, 19.69]",0.8800000000000001,1631,http://www.amazon.com/gp/product/0804136696/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0804136696&amp;linkCode=as2&amp;tag=bst08-20&amp;linkId=SFBFPZQEPORFYWAT,"['Philip Tetlock', 'Dan Gardner']","[' 352 pages ', ' English ', ' Crown ', ' September 29, 2015 ', ' 6.47 x 1.19 x 9.55 inches ', ' 0804136696 ', ' 978-0804136693 ']","['This item: Superforecasting: The Art and Science of Prediction', ""The Signal and the Noise: Why So Many Predictions Fail-But Some Don't"", 'Thinking, Fast and Slow']"
 Cycle Analytics for Traders: Advanced Technical Trading Concepts ,"[93.85, 93.7, 86.18]",0.82,25,http://www.amazon.com/gp/product/1118728513/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=1118728513&amp;linkCode=as2&amp;tag=bst08-20&amp;linkId=KRCYJOH6ZOKH5GAV,['John F. Ehlers'],[],"['This item: Cycle Analytics for Traders: Advanced Technical Trading Concepts', 'Cybernetic Analysis for Stocks and Futures: Cutting-Edge DSP Technology to Improve Your Trading', 'Rocket Science for Traders: Digital Signal Processing Applications']"
 MESA and Trading Market Cycles: Forecasting and Trading Strategies from the Creator of MESA ,"[64.36, 86.18, 93.7]",0.7,11,http://www.amazon.com/gp/product/0471151963/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0471151963&amp;linkCode=as2&amp;tag=bst08-20&amp;linkId=FRDZAQVJNWGG4BZH,['John F. Ehlers'],[],"['This item: MESA and Trading Market Cycles: Forecasting and Trading Strategies from the Creator of MESA', 'Rocket Science for Traders: Digital Signal Processing Applications', 'Cybernetic Analysis for Stocks and Futures: Cutting-Edge DSP Technology to Improve Your Trading']"
 Rocket Science for Traders: Digital Signal Processing Applications ,"[86.18, 93.85, 93.7]",0.8,27,http://www.amazon.com/gp/product/0471405671/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0471405671&amp;linkCode=as2&amp;tag=bst08-20&amp;linkId=VQKWDDZUUV4MGZNE,['John F. Ehlers'],[],"['This item: Rocket Science for Traders: Digital Signal Processing Applications', 'Cycle Analytics for Traders: Advanced Technical Trading Concepts', 'Cybernetic Analysis for Stocks and Futures: Cutting-Edge DSP Technology to Improve Your Trading']"
 Cybernetic Analysis for Stocks and Futures: Cutting-Edge DSP Technology to Improve Your Trading ,"[93.7, 93.85, 86.18]",0.72,23,http://www.amazon.com/gp/product/0471463078/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0471463078&amp;linkCode=as2&amp;tag=bst08-20&amp;linkId=HYD5GK22HEDSDHWS,['John F. Ehlers'],[],"['This item: Cybernetic Analysis for Stocks and Futures: Cutting-Edge DSP Technology to Improve Your Trading', 'Cycle Analytics for Traders: Advanced Technical Trading Concepts', 'Rocket Science for Traders: Digital Signal Processing Applications']"
 Liar's Poker (25th Anniversary Edition): Rising Through the Wreckage on Wall Street ,"[19.19, 15.62, 13.82]",0.9,275,http://www.amazon.com/gp/product/0393246108/ref=as_li_qf_sp_asin_il_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0393246108&amp;linkCode=as2&amp;linkId=UNLY6DJWYGT5FG4E,['Michael Lewis'],"[' 320 pages ', ' English ', ' W. W. Norton & Company ', ' October 27, 2014 ', ' 6.5 x 1.1 x 9.6 inches ', ' 0393246108 ', ' 978-0393246100 ']","[""This item: Liar's Poker (25th Anniversary Edition): Rising Through the Wreckage on Wall Street"", 'The Big Short: Inside the Doomsday Machine', 'Flash Boys']"
 Reminiscences of a Stock Operator ,"[12.99, 22.0, 12.49]",0.9199999999999999,2688,http://www.amazon.com/gp/product/0471770884/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=0471770884&amp;linkCode=as2&amp;linkId=5ZQCB4APFQTT4NVC,['Edwin Lefevre'],"[' 288 pages ', ' English ', ' Wiley ', ' January 17, 2006 ', ' 5.3 x 0.9 x 8.3 inches ', ' 0471770884 ', ' 978-0471770886 ']","['This item: Reminiscences of a Stock Operator', 'Trading in the Zone: Master the Market with Confidence, Discipline and a Winning Attitude', ""Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts""]"
 A Guide to Creating A Successful Algorithmic Trading Strategy (Wiley Trading) ,"[40.96, 36.56, 44.27]",0.8400000000000001,32,http://www.amazon.com/gp/product/1119224748/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=1119224748&amp;linkCode=as2&amp;tag=stockmastrate-20&amp;linkId=EJSYAS44QBQ3X5DA,['Perry J. Kaufman'],[],"['This item: A Guide to Creating A Successful Algorithmic Trading Strategy (Wiley Trading)', ""Building Winning Algorithmic Trading Systems, + Website: A Trader's Journey From Data Mining to Monte Carlo Simulation to Live Trading (Wiley Trading)"", ""Algorithmic Trading: A Practitioner's Guide""]"
 Trading Systems and Methods + Website (5th edition) Wiley Trading ,[78.99],0.8400000000000001,59,http://www.amazon.com/gp/product/1118043561/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=1118043561&amp;linkCode=as2&amp;linkId=Z5AXCFV2PYTDZHXU,['Perry J. Kaufman'],[],[]
 Market Wizards: Interviews with Top Traders ,"[18.59, 24.35]",0.9400000000000001,1838,http://www.amazon.com/gp/product/1118273052/ref=as_li_tl?tag=bst08-20&amp;ie=UTF8&amp;camp=1789&amp;creative=9325&amp;creativeASIN=1118273052&amp;linkCode=as2&amp;linkId=S4FPZ4NQXLIJJKNI,['Jack D. Schwager'],"[' 512 pages ', ' English ', ' Wiley ', ' February 7, 2012 ', ' 6 x 1.3 x 8.9 inches ', ' 1118273052 ', ' 978-1118273050 ']","['This item: Market Wizards: Interviews with Top Traders', 'Trade Your Way to Financial Freedom']"
